tagID,tagName,description
1,Nazi,"包含关键词: nazi, hitler, holocaust, wwii, germany"
2,Horror,"包含关键词: horror, scary, ghost, terror, fear, haunted, amityville"
3,Christmas,"包含关键词: christmas, xmas, santa, holiday, noel"
4,Superhero,"包含关键词: superhero, marvel, dc, batman, spiderman, wonder"
5,Fantasy,"包含关键词: fantasy, magic, dragon, wizard, elf, warcraft"
6,Action,"包含关键词: action, fight, battle, combat, explosion, chase"
7,Comedy,"包含关键词: comedy, funny, humor, joke, laugh"
8,Romance,"包含关键词: romance, love, heart, kiss, couple, valentine"
9,Drama,"包含关键词: drama, emotional, serious, story, life"
10,Thriller,"包含关键词: thriller, suspense, tense, mystery, crime"
11,Sci-Fi,"包含关键词: sci-fi, science fiction, future, space, alien"
12,War,"包含关键词: war, battle, soldier, military, army, ridge, raid"
13,Crime,"包含关键词: crime, criminal, heist, robbery, gangster"
14,Documentary,"包含关键词: documentary, doc, real, true story, fact"
15,Family,"包含关键词: family, kid, children, parent, child"
16,Adventure,"包含关键词: adventure, journey, expedition, quest, explore"
17,Animation,"包含关键词: animation, animated, cartoon, pixar, disney"
18,Biography,"包含关键词: biography, bio, true story, real life, historical"
19,History,"包含关键词: history, historical, past, era, period"
20,Music,"包含关键词: music, song, concert, band, singer"
21,Musical,"包含关键词: musical, song and dance, broadway, stage"
22,Mystery,"包含关键词: mystery, whodunit, clue, detective, investigation"
23,Sport,"包含关键词: sport, sports, game, athlete, competition"
24,Vampire,"包含关键词: vampire, dracula, blood, fang, undead"
25,Zombie,"包含关键词: zombie, undead, apocalypse, walking dead"
26,Pirate,"包含关键词: pirate, caribbean, ship, treasure"
27,Mafia,"包含关键词: mafia, gangster, crime family, godfather"
28,Wedding,"包含关键词: wedding, marriage, bride, groom"
29,Prison,"包含关键词: prison, jail, inmate, cell"
30,Beach,"包含关键词: beach, bay, ocean, sea, coast"
31,School,"包含关键词: school, student, teacher, classroom"
32,Lawyer,"包含关键词: lawyer, attorney, court, trial"
33,Doctor,"包含关键词: doctor, hospital, medical, surgeon"
34,Police,"包含关键词: police, cop, detective, investigator"
35,Spy,"包含关键词: spy, agent, espionage, secret"
36,Time Travel,"包含关键词: time travel, time machine, back to future"
37,Artificial Intelligence,"包含关键词: ai, robot, android, cyborg"
38,Alien,"包含关键词: alien, extraterrestrial, ufo, space"
39,Apocalypse,"包含关键词: apocalypse, end of world, dystopia"
40,Drug,"包含关键词: drug, cocaine, heroin, addiction"
41,Terrorism,"包含关键词: terrorism, terrorist, isis, bomb"
