userID,themeID,proportion
1,2,0.3393
1,5,0.2539
1,4,0.2014
2,2,0.2528
2,1,0.2311
2,5,0.2165
3,1,0.3612
3,5,0.2241
3,3,0.2162
4,2,0.6041
4,1,0.3255
4,5,0.056
5,3,0.6
5,4,0.2214
5,2,0.1602
6,2,0.2274
6,1,0.218
6,4,0.2054
7,1,0.2283
7,5,0.2134
7,2,0.2012
8,5,0.252
8,1,0.233
8,4,0.2083
9,3,0.3686
9,1,0.3257
9,4,0.1426
10,4,0.5464
10,3,0.2662
10,2,0.1055
11,3,0.5505
11,2,0.1828
11,4,0.1113
12,2,0.3657
12,3,0.2919
12,1,0.1667
13,3,0.3395
13,1,0.2174
13,2,0.201
14,3,0.3115
14,5,0.2092
14,1,0.202
15,1,0.3288
15,2,0.2803
15,3,0.1805
16,3,0.3324
16,4,0.2474
16,2,0.1489
17,3,0.5423
17,2,0.3035
17,4,0.0811
18,5,0.5471
18,3,0.4444
18,2,0.0056
19,3,0.4038
19,2,0.2923
19,4,0.1586
20,4,0.3425
20,2,0.253
20,1,0.1762
21,3,0.2642
21,1,0.2447
21,2,0.198
22,2,0.6164
22,3,0.1718
22,4,0.0787
23,2,0.287
23,3,0.2859
23,1,0.2161
24,1,0.2694
24,4,0.2419
24,5,0.1843
25,2,0.2575
25,5,0.2564
25,3,0.2387
26,2,0.3577
26,5,0.3409
26,1,0.1258
27,4,0.624
27,5,0.2148
27,2,0.1613
28,4,0.3255
28,1,0.293
28,5,0.1701
29,2,0.4581
29,5,0.3949
29,4,0.0682
30,1,0.3678
30,2,0.3534
30,5,0.1393
31,3,0.3519
31,5,0.1917
31,4,0.1752
32,5,0.6972
32,4,0.114
32,1,0.0826
33,5,0.3785
33,2,0.2509
33,4,0.1738
34,2,0.5381
34,4,0.1893
34,1,0.1491
35,1,0.4069
35,4,0.2111
35,2,0.1693
36,1,0.5707
36,4,0.4196
36,5,0.0078
37,3,0.3346
37,4,0.2227
37,2,0.1945
38,2,0.4267
38,4,0.1766
38,3,0.1485
39,2,0.428
39,4,0.2373
39,3,0.2199
40,1,0.4787
40,4,0.2653
40,2,0.1249
41,3,0.3137
41,2,0.3082
41,4,0.1299
42,2,0.6168
42,3,0.1971
42,4,0.1178
43,2,0.7125
43,1,0.2146
43,3,0.043
44,1,0.5793
44,4,0.1687
44,2,0.1307
45,4,0.4895
45,1,0.3614
45,3,0.0959
46,2,0.9259
46,3,0.0329
46,1,0.0324
47,5,0.5136
47,1,0.216
47,4,0.1502
48,4,0.4314
48,1,0.2082
48,3,0.1428
49,1,0.3277
49,2,0.2674
49,5,0.2084
50,3,0.4408
50,1,0.2053
50,2,0.1832
