user_id,watch_count
b15926c011,737
779343a3ea,484
89fbb087f3,278
7cdfd0e14a,207
e06f0be797,199
7c53ece165,187
322f2bd4d4,179
e259fd87b7,165
c314161c9b,156
fc565871cf,153
82af209598,151
c894db7220,147
e532ae5b97,144
cee47dfb69,144
9eaa2fc081,143
d36d70ea47,142
fcf33aed94,142
9d7039a080,139
609c532a3a,132
e0b30afa56,132
29c1164b3b,130
3195ebddb2,128
5068585c6c,125
42ac895c25,124
a03ad067cf,121
8776bd2af5,121
da01959c0b,120
b75bf86c4f,119
f67671c11b,119
f48e5f0146,118
0f8d8e905a,117
18609b13d0,116
097b9f44bc,115
6d4ef4e937,110
4569dcf8bf,107
5630a4b13b,107
1862bb7dc9,104
df4cccd444,104
d05cc79498,104
8be69a3a8b,102
9e52da4175,102
c799866859,101
51eb027d36,101
74dfbf5364,101
0d5ca81d0b,101
258853c3e2,100
8daf6eca6b,99
1fca27ecdf,99
28106e96d4,98
ed05704c26,97
